HINT_SPLASH_TITLE;Britannia 479 AD - 'The Winter King';;;;;;;;;;;;x
HINT_SPLASH_START;As a new feudal lord, your first priority is to secure an heir. If you do not have a legitimate heir when your character dies, it's Game Over. Other pressing matters that need your attention will appear as Alerts along the top of the screen.;;;;;;;;;;;;x
HINT_SPLASH_TIME;You can issue commands both while the game is paused and when the clock is running. To pause or unpause the game, click the date in the upper-right corner or press the Spacebar. Use the plus and minus symbols to speed time up or to slow it down.;;;;;;;;;;;;x
HINT_SPLASH_VICTORY;Unless your dynasty dies out or you lose your last piece of land, the game will end in the year 962 AD, and you can compare your success with that of other dynasties from real history.;;;;;;;;;;;;x
HINT_SPLASH_TEXT;In 'The Winter King', you play as a feudal ruler of western Europe during the Dark Ages. Your goal is to secure as much land and prestige as possible for yourself and, when the time comes, your successors. You can see your portrait in the upper-left corner. Click the portrait to find out who your character is.;;;;;;;;;;;;x
HINT_SPLASH_MAP;The campaign takes place on a fully 3D map. You can zoom in and out using your mouse scroll wheel. Holding down the scroll wheel and moving the mouse lets you pan. You can always reset the map by pressing Backspace.;;;;;;;;;;;;x
recently_conquered;Recently Conquered;;;;;;;;;;;;x
new_administration;Transition of Rule;;;;;;;;;;;;x
obj_become_king_title;Become King of [This.Capital.Kingdom.GetName];;;;;;;;;;;;x
obj_become_king_desc;[This.GetTitledFirstName] wants to become King of [This.Capital.Kingdom.GetName].;;;;;;;;;;;;x
obj_become_king_tip;Is King of [This.Capital.Kingdom.GetName];;;;;;;;;;;;x
obj_buddhist_reject_hate_desc;[This.GetTitledFirstName], as a devoted Manichean, is trying to learn to reject the poison that hate and anger brings to the mind.;[This.GetTitledFirstName], bouddhiste zélé, tente d'apprendre à rejeter la haine et la colère qui sont des poisons de l'esprit.;[This.GetTitledFirstName] ist überzeugter Buddhist und versucht, die Vergiftung des Geistes durch Hass und Zorn abzulehnen.;; [This.GetTitledFirstName], como budista devoto/a, trata de aprender a rechazar el veneno que el odio y la ira traen a la mente.;;;;;;;;;x
obj_buddhist_reject_pride_title;Learn to Reject Pride;Apprendre à rejeter l'orgueil;Lernt, Stolz abzulehnen;; Aprender a rechazar el orgullo;;;;;;;;;x
obj_buddhist_reject_pride_desc;[This.GetTitledFirstName], as a devoted Manichean, is trying to learn to reject pride.;[This.GetTitledFirstName], bouddhiste zélé, tente d'apprendre à rejeter l'orgueil.;[This.GetTitledFirstName] ist überzeugter Buddhist und versucht, den Stolz abzulehnen.;; [This.GetTitledFirstName], como budista devoto/a, trata de aprender a rechazar el orgullo.;;;;;;;;;x
obj_buddhist_defeat_fear_title;Defeat Fear;Vaincre la peur;Besiegt die Furcht;; Vencer el Miedo;;;;;;;;;x
obj_buddhist_defeat_fear_desc;[This.GetTitledFirstName], as a devoted Manichean, is trying to learn to defeat [This.GetHerHis] fear of the world and of the designs of others.;[This.GetTitledFirstName], bouddhiste zélé, tente d'apprendre à vaincre sa peur du monde et des projets d'autrui.;[This.GetTitledFirstName] ist überzeugter Buddhist und versucht, [This.GetHerHis] Furcht vor der Welt und der Hinterhältigkeit anderer Menschen zu besiegen.;;[This.GetTitledFirstName], como budista devoto/a, trata de aprender a derrotar [This.GetHerHis] miedo al mundo y a los designios de otros.;;;;;;;;;x
faction_independence_short;Independence;;;;;;;;;;;;x
TOGGLE_LOOTER;Toggle Looting;;;;;;;;;;;;x
TOGGLE_LOOTER_DESC;Setting this Unit to be a Looter will allow it to loot the provinces and holdings of other religions.\nThis will cause a temporary state of hostility with them however, allowing them to attack any of your troops.;;;;;;;;;;;;x
PORTAGE;Portage between §Y$FROM$§! and §Y$TO$§!;;;;;;;;;;;;x
PORTAGE_DESC;A Portage allows ships to move between sea provinces over a land province.;;;;;;;;;;;;x
NUM_CULTURE_REALM_PROVS_LESS;Fewer than §Y$NUM$§! §Y$CULTURE$§! Provinces in Realm;;;;;;;;;;;;x
NUM_CULTURE_REALM_PROVS_MORE;At least §Y$NUM$§! §Y$CULTURE$§! Provinces in Realm;;;;;;;;;;;;x
NUM_TITLE_REALM_PROVS_LESS;Fewer than §Y$NUM$§! Provinces within the §Y$TITLE$§! in Realm;;;;;;;;;;;;x
NUM_TITLE_REALM_PROVS_MORE;At least §Y$NUM$§! Provinces within the §Y$TITLE$§! in Realm;;;;;;;;;;;;x
BASE_TROOP_VALUE_GARRISON;Base Garrison Size: $VALUE$;;;;;;;;;;;;x
MODIFIED_TROOP_VALUE_GARRISON;Final Garrison Size: §Y$VALUE$§!;;;;;;;;;;;;x
MIL_HOLY_ORDERS;Zealots;;;;;;;;;;;;x
INTERACTION_HOLY_ORDERS_CANNOT_MARRY;Leaders of Zealot and Mercenary Companies cannot marry;Les chefs des ordres sacrés et des compagnies de mercenaires ne peuvent pas se marier;Anführer Heiliger Orden und Söldnerbanden können nicht heiraten;;Los líderes de las Ordenes Militares y las Compañías de Mercenario no pueden casarse;;;;;;;;;x
IS_HOLY_ORDER;Is Zealot Company;Est un ordre saint;ist ein Orden;;Es Orden Sagrada;;;;;;;;;x
IS_NOT_HOLY_ORDER;Is NOT Zealot Company;N'est pas un ordre saint;ist KEIN Orden;;NO es Orden Sagrada;;;;;;;;;x
ALL_SUBUNITS_EITHER_MERC_OR_HOLY;Cannot select a leader for a flank which consists of only mercenary and zealot companies.;Impossible d'attribuer un commandant à un bataillon composé uniquement de mercenaires ou d'ordres saints.;Ein Anführer kann nicht gewählt werden, da die Flanke nur aus Söldner bzw. Soldaten eines Ordens besteht.;;No se puede seleccionar un líder para un flanco compuesto únicamente de mercenarios y compañías de la orden sagrada.;;;;;;;;;x
SPLIT_HOLY_ORDERS_OPTION;Split off Zealots;Détacher les ordres saints;Ordenstruppen abspalten;;Separar Órdenes sagradas;;;;;;;;;x
GOVERNMENT_CANNOT_CREATE_KINGDOMS;Theocracies, Zealot Companies, and Mercenaries cannot create kingdoms!;Les théocraties, ordre sacrés et mercenaires ne peuvent pas créer de royaumes !;Theokratien, Orden und Söldner können keine Königreiche gründen!;;¡Teocracias, órdenes sagradas y mercenarios no pueden crear reinos!;;;;;;;;;x
TITLE_CANNOT_CREATE_HOLY_ORDER_TITLE;You can never directly create a Zealot Company title;Vous ne pouvez jamais directement créer un titre de mercenaire de l'Ordre sacré;Ihr könnt prinzipiell keine Titel von Kriegerorden erschaffen.;;No se puede crear directamente un título de una orden sagrada;;;;;;;;;x
continent_britain;Britain;;;;;;;;;;;;x
continent_ireland;Ireland;;;;;;;;;;;;x
continent_europe;Gaul;;;;;;;;;;;;x
continent_ynys_man;Ynys Man;;;;;;;;;;;;x
continent_hebrides;Hebrides;;;;;;;;;;;;x
occupied;Recently Conquered;;;;;;;;;;;;x
occupied_different_religion;Recently Conquered (Different Religion);;;;;;;;;;;;x
occupied_different_religiongroup;Recently Conquered (Different Religious Group);;;;;;;;;;;;x
occupied_different_culture;Recently Conquered (Different Culture);;;;;;;;;;;;x
occupied_different_culturegroup;Recently Conquered (Different Culture Group);;;;;;;;;;;;x
DIPLOFLAVOR_INSULT_0;Tales of your misdeeds are told from Britain to Constantinople.;;;;;;;;;;;;;x
DIPLOFLAVOR_INSULT_1;May you be sewn up alive in the belly of a dead ox.;;;;;;;;;;;;;x
DIPLOFLAVOR_INSULT_2;May your humors rot in your living body.;;;;;;;;;;;;;x
DIPLOFLAVOR_INSULT_3;May your years be short and miserable.;;;;;;;;;;;;;x
DIPLOFLAVOR_INSULT_4;May wisdom ever elude you.;;;;;;;;;;;;;x
ATPEACE;At Peace ;;;;;;;;;;;;;x
ATWAR;At War ;;;;;;;;;;;;;x
UNKNOWN_LOCATION;Current Location Unknown;;;;;;;;;;;;;x
EXCELLENT;Good.;;;;;;;;;;;;;x
CHAR_PRIEST;A priest;;;;;;;;;;;;;x
CHAR_SOLDIER;A warrior;;;;;;;;;;;;;x
CHAR_STEWARD;A steward;;;;;;;;;;;;;x
CHAR_INTRIGUER;An intriguer;;;;;;;;;;;;;x
CHAR_DIPLOMAT;A diplomat;;;;;;;;;;;;;x
CHAR_LADY;A lady;;;;;;;;;;;;;x
CHAR_KNIGHT;A character;;;;;;;;;;;;;x
HAVE_NOT_CULTURE_GROUP;Cultural Group is NOT ;;;;;;;;;;;;;x
HAVE_CULTURE_GROUP;Cultural Group is ;;;;;;;;;;;;;x
HAVNT_CULTURE;Culture is NOT ;;;;;;;;;;;;;x
HAVE_CULTURE;Culture is ;;;;;;;;;;;;;x
#HAVE_NOT_RELIGION;Religion is NOT ;;;;;;;;;;;;;x
#HAVE_RELIGION;Religion is ;;;;;;;;;;;;;x
IS_NOT_OF_CULTURE;Culture is NOT ;;;;;;;;;;;;;x
IS_OF_CULTURE;Culture is ;;;;;;;;;;;;;x
county_isolated;Isolated Province;;;;;;;;;;;;;x
CHAR_STATUS_PILGRIM;§Y$NAME$§! is currently traveling in distant lands, or missing, or in an unknown location.;;;;;;;;;;;;;x
DEATH_SACRIFICED;was offered up in sacrifice to the Gods by $KILLER$;;;;;;;;;;;;;x
DEATH_SACRIFICED_NO_KILLER;was offered up in sacrifice to the Gods;;;;;;;;;;;;;x
DEATH_HUNTING_ACCIDENT;died in a hunting accident;;;;;;;;;;;;;x
DEATH_HUNTING_ACCIDENT_NO_KILLER;died in a hunting accident;;;;;;;;;;;;;x
DEATH_ESCAPE;died attempting a daring escape;;;;;;;;;;;;;;x
has_missing_death;in unknown circumstances or possibly went missing;;;;;;;;;;;;;x
pregnant_death;giving birth;;;;;;;;;;;;;x
drunkard_death;of alcoholic liver disease;;;;;;;;;;;;;x
weak_death;of an unknown disease;;;;;;;;;;;;;x
soft_death;of an unknown disease;;;;;;;;;;;;;x
hunchback_death;an old hunchback;;;;;;;;;;;;;x
lunatic_death;from self inflicted wounds;;;;;;;;;;;;;x
bubonic_plague;Plague of Justinian;;;;;;;;;;;;;x
BUBONIC_PLAGUE_INFO;This province suffers from the devastating epidemic known as the Plague of Justinian.;;;;;;;;;;;;;x
has_bubonic_plague;Has the Plague of Justinian;;;;;;;;;;;;;x
has_bubonic_plague_desc;This character suffers from the dreaded bubonic plague known as the Plague of Justinian.;;;;;;;;;;;;;x
has_bubonic_plague_death;of the Plague of Justinian;;;;;;;;;;;;;x
saxon_plague;Saxon Plague;;;;;;;;;;;;;x
SAXON_PLAGUE_INFO;The foreign people who have arrived on these isles have bought with them new diseases, which collectively are killing off the local Britons.;;;;;;;;;;;;;x
has_saxon_plague;Has the Saxon Plague;;;;;;;;;;;;;x
has_saxon_plague_desc;This character has the Saxon plague, a collection of diseases introduced to the British Isles by the invading Germans.;;;;;;;;;;;;;x
has_saxon_plague_death;of the Saxon Plague;;;;;;;;;;;;;x
malaria;Roman Fever;;;;;;;;;;;;;x
MALARIA_INFO;There is an epidemic of the Roman Fever, also known as malaria, in this province.;;;;;;;;;;;;;x
has_malaria;Has the Roman Fever;;;;;;;;;;;;;x
has_malaria_desc;This character has contracted the Roman Fever, also known as malaria.;;;;;;;;;;;;;x
has_malaria_death;of the Roman Fever;;;;;;;;;;;;;x
fragile_death;of poor health;;;;;;;;;;;;;x
normal_spring;Spring;;;;;;;;;;;;;x
normal_summer;Summer;;;;;;;;;;;;;x
normal_autumn;Autumn;;;;;;;;;;;;;x
normal_winter;Winter;;;;;;;;;;;;;x
very_cold_normal_spring;Very Cold Spring;;;;;;;;;;;;;x
very_cold_normal_summer;Very Cool Summer;;;;;;;;;;;;;x
very_cold_normal_autumn;Very Cold Autumn;;;;;;;;;;;;;x
very_cold_normal_winter;Very Harsh Winter;;;;;;;;;;;;;x
cold_normal_spring;Cold Spring;;;;;;;;;;;;;x
cold_normal_summer;Cool Summer;;;;;;;;;;;;;x
cold_normal_autumn;Cold Autumn;;;;;;;;;;;;;x
cold_normal_winter;Harsh Winter;;;;;;;;;;;;;x
warm_normal_spring;Warm Spring;;;;;;;;;;;;;x
warm_normal_summer;Hot Summer;;;;;;;;;;;;;x
warm_normal_autumn;Warm Autumn;;;;;;;;;;;;;x
warm_normal_winter;Mild Winter;;;;;;;;;;;;;x
northern_spring;Spring (Northern);;;;;;;;;;;;;x
northern_summer;Summer (Northern);;;;;;;;;;;;;x
northern_autumn;Autumn (Northern);;;;;;;;;;;;;x
northern_winter;Winter (Northern);;;;;;;;;;;;;x
very_cold_northern_spring;Very Cold Spring (Northern);;;;;;;;;;;;;x
very_cold_northern_summer;Very Cool Summer (Northern);;;;;;;;;;;;;x
very_cold_northern_autumn;Very Cold Autumn (Northern);;;;;;;;;;;;;x
very_cold_northern_winter;Very Harsh Winter (Northern);;;;;;;;;;;;;x
cold_northern_spring;Cold Spring (Northern);;;;;;;;;;;;;x
cold_northern_summer;Cool Summer (Northern);;;;;;;;;;;;;x
cold_northern_autumn;Cold Autumn (Northern);;;;;;;;;;;;;x
cold_northern_winter;Harsh Winter (Northern);;;;;;;;;;;;;x
warm_northern_spring;Warm Spring (Northern);;;;;;;;;;;;;x
warm_northern_summer;Hot Summer (Northern);;;;;;;;;;;;;x
warm_northern_autumn;Warm Autumn (Northern);;;;;;;;;;;;;x
warm_northern_winter;Mild Winter (Northern);;;;;;;;;;;;;x
continental_spring;Spring (Continental);;;;;;;;;;;;;x
continental_summer;Summer (Continental);;;;;;;;;;;;;x
continental_autumn;Autumn (Continental);;;;;;;;;;;;;x
continental_winter;Winter (Continental);;;;;;;;;;;;;x
very_cold_continental_spring;Very Cold Spring (Continental);;;;;;;;;;;;;x
very_cold_continental_summer;Very Cool Summer (Continental);;;;;;;;;;;;;x
very_cold_continental_autumn;Very Cold Autumn (Continental);;;;;;;;;;;;;x
very_cold_continental_winter;Very Harsh Winter (Continental);;;;;;;;;;;;;x
cold_continental_spring;Cold Spring (Continental);;;;;;;;;;;;;x
cold_continental_summer;Cool Summer (Continental);;;;;;;;;;;;;x
cold_continental_autumn;Cold Autumn (Continental);;;;;;;;;;;;;x
cold_continental_winter;Harsh Winter (Continental);;;;;;;;;;;;;x
warm_continental_spring;Warm Spring (Continental);;;;;;;;;;;;;x
warm_continental_summer;Hot Summer (Continental);;;;;;;;;;;;;x
warm_continental_autumn;Warm Autumn (Continental);;;;;;;;;;;;;x
warm_continental_winter;Mild Winter (Continental);;;;;;;;;;;;;x
woods;Woods;;;;;;;;;;;;;x
marsh;Marshes;;;;;;;;;;;;;x
arctic;Northern Plains;;;;;;;;;;;;;x
fosse_way;Fosse Way;;;;;;;;;;;;;x
highlands;Highlands;;;;;;;;;;;;;x
PROV_CULTURECHANGE_SETUP;Province Culture Change;;;;;;;;;;;;;x
PROV_CULTURECHANGE_LOG;The majority of the populace in the province of §Y$NAME$§! has changed culture and is now §Y$CULTURENAME$§!.;;;;;;;;;;;;;x
PROV_RELIGIONCHANGE_SETUP;Province Religion Change;;;;;;;;;;;;;x
PROV_RELIGIONCHANGE_LOG;The majority of the populace in the province of §Y$NAME$§! has converted to the §Y$RELIGIONNAME$§! religion.;;;;;;;;;;;;;x
county_heresy;Different Religious Beliefs;;;;;;;;;;;;;x
MODIFIER_LEVY_REINFORCE_RATE;Levy Reinforcement Rate;;;;;;;;;;;;;x
MODIFIER_LEVY_SIZE;Levy Size;;;;;;;;;;;;;x
LEVY_SIZE;Levy Size;;;;;;;;;;;;;x
GARRISON_SIZE;Garrison Size;;;;;;;;;;;;;x
MAXIMUM_RAISABLE_LEVY;Levy at disposal due to laws and ruler's martial skills: §Y$VALUE$%§!;;;;;;;;;;;;;x
MORALE_DEFENCE;Morale During Defense;;;;;;;;;;;;;x
MORALE_OFFENCE;Morale During Offense;;;;;;;;;;;;;x
SUPPLY_OWNER;Own Realm: $VALUE$;;;;;;;;;;;;;x
SUPPLY_CONTROLLER;Controlled Holdings: $VALUE$;;;;;;;;;;;;;x
SUPPLY_NEUTRAL;Neutral Holdings: $VALUE$;;;;;;;;;;;;;x
SUPPLY_ENEMY;Hostile Holdings: $VALUE$;;;;;;;;;;;;;x
SUPPLY_RELIGION;Different Religious Group: $VALUE$;;;;;;;;;;;;;x
SUPPLY_COASTAL;Coastal Area: $VALUE$;;;;;;;;;;;;;x
SUPPLY_NEIGHBOR;Controlled Neighbour Holdings: $VALUE$;;;;;;;;;;;;;x
SUPPLY_BASE_MODIFIED;Modified Base Value: §Y$VALUE$§!;;;;;;;;;;;;;x
ATTRITION_CURRENT;Monthly Attrition: §Y$VALUE$%§!;;;;;;;;;;;;;x
ATTRITION_MAX;Maximum Monthly Attrition in Province: §Y$VALUE$%§!;;;;;;;;;;;;;x
TOTAL_COUNTY_TAX;Total Local Tax;;;;;;;;;;;;;x
TOTAL_COUNTY_TAX_DESC;Yearly Tax Paid to Us / Total Yearly Income;;;;;;;;;;;;;x
TOTAL_COUNTY_LEVY;Total Local Levy;;;;;;;;;;;;;x
TOTAL_COUNTY_LEVY_DESC;Levy Raisable by Us / Total Max Levy;;;;;;;;;;;;;x
CASTLE_TAX;Feudal Tax;;;;;;;;;;;;;x
CITY_TAX;Town Tax;;;;;;;;;;;;;x
CHURCH_TAX;Religious Tax;;;;;;;;;;;;;x
CITY_TAX_MODIFIER;Town Taxation;;;;;;;;;;;;x
CASTLE_TAX_MODIFIER;Feudal Taxation;;;;;;;;;;;;x
TEMPLE_TAX_MODIFIER;Religious Taxation;;;;;;;;;;;;x
TRADE_POST_TAX_MODIFIER;Trade Post Taxation;;;;;;;;;;;;x
CITY_VASSAL_TAX_MODIFIER;Town Vassals Tax;;;;;;;;;;;;x
CASTLE_VASSAL_TAX_MODIFIER;Feudal Vassals Tax;;;;;;;;;;;;x
TEMPLE_VASSAL_TAX_MODIFIER;Religious Vassals Tax;;;;;;;;;;;;x
MODIFIER_CITY_LEVY_SIZE;Town Levy Size;;;;;;;;;;;;x
MODIFIER_CASTLE_LEVY_SIZE;Feudal Levy Size;;;;;;;;;;;;x
MODIFIER_TEMPLE_LEVY_SIZE;Religious Levy Size;;;;;;;;;;;;x
CITY_VASSAL_MIN_LEVY;Minimal Town Levy;;;;;;;;;;;;x
CASTLE_VASSAL_MIN_LEVY;Minimal Feudal Levy;;;;;;;;;;;;x
TEMPLE_VASSAL_MIN_LEVY;Minimal Religious Levy;;;;;;;;;;;;x
CITY_VASSAL_MAX_LEVY;Raisable Town Levy;;;;;;;;;;;;x
CASTLE_VASSAL_MAX_LEVY;Raisable Feudal Levy;;;;;;;;;;;;x
TEMPLE_VASSAL_MAX_LEVY;Raisable Religious Levy;;;;;;;;;;;;x
LOCAL_REVOLT_RISK;Local Revolt Risk;;;;;;;;;;;;x
GLOBAL_REVOLT_RISK;Overall Revolt Risk;;;;;;;;;;;;x
LOCAL_TAX_MODIFIER;Local Tax Income;;;;;;;;;;;;x
GLOBAL_TAX_MODIFIER;Overall Tax Income;;;;;;;;;;;;x
REPUBLIC_HELD_CITY;Republican Authorities;;;;;;;;;;;;x
REPUBLIC_HELD_COASTAL_CITY;Trading Center;;;;;;;;;;;;x
REPUBLIC_GRAND_CAPITAL_CITY;Republic Capital City;;;;;;;;;;;;x
CROWN_LAW_DESC;The Crown Laws of the §Y$CROWN_TITLE$§!\napply in the §Y$TITLE$§!;;;;;;;;;;;;x
TOO_MANY_HELD_DUCHIES;Too Many High Lordship Titles;;;;;;;;;;;;x
TITLE_CREATION_REQ_DUCHIES;You need to hold at least §Y$DUCHIES$§! High Lordship titles.;;;;;;;;;;;;x
TITLE_CREATION_EMPEROR_DESC;We need to control §Y$REQ_PERC$%§! of its de jure provinces to create this title. Currently, we control $PERC$ ($HELD$/§Y$ALL$§!). Creating this title would give you §G$PRESTIGE$§! Prestige and cost you §R$GOLD$§! Gold and §R$PIETY$§! Piety.;;;;;;;;;;;;x
TITLE_CREATION_KING_DESC;We need to control §Y$REQ_PERC$%§! of its de jure provinces to create this title. Currently, we control $PERC$ ($HELD$/§Y$ALL$§!). Creating this title would give you §G$PRESTIGE$§! Prestige and cost you §R$GOLD$§! Gold and §R$PIETY$§! Piety.;;;;;;;;;;;;x
TITLE_CREATION_DESC;We need to control §Y$REQ_PERC$%§! of its de jure provinces to create this title. Currently, we control $PERC$ ($HELD$/§Y$ALL$§!). Creating this title would give you §G$PRESTIGE$§! Prestige and cost you §R$GOLD$§! Gold.;;;;;;;;;;;;x
TITLE_USURPATION_DESC;We need to control §Y$REQ_PERC$%§! of its de jure provinces to usurp this title. Currently, we control $PERC$ ($HELD$/§Y$ALL$§!). Usurping this title would give you §G$PRESTIGE$§! Prestige and cost you §R$GOLD$§! Gold.;;;;;;;;;;;;x
REALM_LEVY_LESS;Current realm levies less than §Y$VAL$§!;Nombre actuel de levées de troupes dans le pays inférieur à §Y$VAL$§!;Aktuelle Zahl der Lehnstruppen des Reichs geringer als ?$VAL$?;;Reclutamiento actual del reino menos de ?$VAL$?;;;;;;;;;x
REALM_LEVY_LEAST;Current realm levies at least §Y$VAL$§!;Nombre actuel de levées de troupes dans le pays égal ou supérieur à §Y$VAL$§!;Aktuelle Zahl der Lehnstruppen des Reichs mindestens ?$VAL$?;;Reclutamiento actual del reino por lo menos ?$VAL$?;;;;;;;;;x
MAX_TROOP_STRENGTH_LESS;Maximum realm levies less than §Y$VAL$§!;Nombre actuel de levées de troupes dans le pays inférieur à §Y$VAL$§!;Maximum der Lehnstruppen des Reichs geringer als ?$VAL$?;;Reclutamiento máximo del reino menos que ?$VAL$?;;;;;;;;;x
MAX_TROOP_STRENGTH_LEAST;Maximum realm levies at least §Y$VAL$§!;Nombre actuel de levées de troupes dans le pays égal ou supérieur à §Y$VAL$§!;Maximum der Lehnstruppen des Reichs mindestens ?$VAL$?;;Reclutamiento máximo del reino por lo menos ?$VAL$?;;;;;;;;;x
alert_dejure_claim_instant;§YYou can Press De Jure Claims§!;;;;;;;;;;;;x
alert_dejure_claim_delayed;The following claims can be pressed: $LIST$;;;;;;;;;;;;x
